ResponseID,StartDate,EndDate,Week No.,Q001,Q001_999,Weight
R_3qP6fYWvnOhCevJ,8/31/2017 0:00,8/31/2017 0:00,35,5,,1.97433
R_VRwDQ70ZcDm2nx7,8/31/2017 0:00,8/31/2017 0:00,35,4,"major improvements need to ios apps.  Need multiple document open support,  need multi-select in powerpoint,  outlook needs ability to sort by sender, subject, etc.  outlook needs more keyboard shortcuts for moving mail, etc.",1.08259
R_1KxPS99WtSVF1Xc,8/31/2017 0:00,8/31/2017 0:00,35,5,"being able to add it to more than one computer without having to pay more.  i have a work laptop and a home laptop, but my company doesn't provide office for my work laptop because i own it.",0.20351
R_1gtntckLJgsMdhP,8/31/2017 0:00,8/31/2017 0:00,35,3,Dont have a clue,0.23614
R_1MQK3hLkAkdch5z,8/31/2017 0:00,8/31/2017 0:00,35,4,better editing capability,0.1934
R_3kogF3MatuQdk72,8/31/2017 0:00,8/31/2017 0:00,35,5,It is fine for what I use.,0.23075
R_1jksCYIqQDjJVP4,8/31/2017 0:00,8/31/2017 0:00,35,2,Not happy I have to renew every year in order to keep documentation updated.,1.12107
R_2VfoK40mtv4aMCo,8/31/2017 0:00,8/31/2017 0:00,35,4,"It is a little busy, it could be more simple",2.44188
R_3k7X3HbPpEnoxPm,8/31/2017 0:00,8/31/2017 0:00,35,4,"Make it cheaper!  I run a tiny business and to have to pay a yearly usage fee is frustrating. You should pay once to download the application onto a new computer, and that's it. You can function in business without Office programs!",0.76656
R_1Ow5Ru0WeuXAKJ2,8/31/2017 0:00,8/31/2017 0:00,35,5,,2.44188
R_71lnFdYCqmr2bbr,8/31/2017 0:00,8/31/2017 0:00,35,4,,0.43875
R_31EHDGzPT515MsP,8/31/2017 0:00,8/31/2017 0:00,35,2,Have not used it so I cant answer,0.20796
R_2QXy695B83iz07D,8/31/2017 0:00,8/31/2017 0:00,35,4,,0.49452
R_3fs0WYMEhdqiUpx,8/31/2017 0:00,8/31/2017 0:00,35,5,"I don't know if one drive is considered a part of Office 365 or my MS account, however you need to fix it so we can keep one drive on a network share. \\also, a lot of us would be interested, even willing to pay a bit more monthly for a office 365 that included visio, project and other MS applications",0.43875
R_1JEYlVsn0XB0bu8,8/31/2017 0:00,8/31/2017 0:00,35,3,,0.54332
R_poMim3BRmqluEPT,8/31/2017 0:00,8/31/2017 0:00,35,4,I can't think of anything,0.22849
R_1GIdOlzm5TWKmIm,8/31/2017 0:00,8/31/2017 0:00,35,5,,0.51512
R_22t29VySOeZZcyL,8/31/2017 0:00,8/31/2017 0:00,35,3,simpler instructions for the more computer illiterate of us.  Recent update instructions overwhelming.,0.45307
R_1LBfUZ4qnvhjGkx,8/31/2017 0:00,8/31/2017 0:00,35,4,,3.44067
R_9sEpgupGgjS8xoZ,8/31/2017 0:00,8/31/2017 0:00,35,4,,0.32875
R_1rHB59lg07slgyr,8/31/2017 0:00,9/1/2017 0:00,35,2,"Word:\Color page background is grey, not blue. UGLY.\Can’t see cursor at edge of text with text boundary activated. \\Add automatic line numbering within 1st column of a table. Continuous or restart each section.\\Outlook:\contact sync has been a total disaster since you created the online Outlook. I have had to spend dozens of hours repairing the damage and it is still a mess.\\There's more but I'm not going to spend more time on this.",0.14938
R_1gOeijLN7WpQPdn,8/31/2017 0:00,9/1/2017 0:00,35,4,"Make it cheaper.  Make it so a Microsoft account isn't required to use everything.  Make it so you can look for a previous Microsoft account you may have created a forgotten about, e.g. by email, etc.",2.44188
R_2fAKU5J1Qi3DRUP,9/1/2017 0:00,9/1/2017 0:00,35,5,I've never thought about Office 365 needing any improvements to be better.,1.12107
R_2Ug4mRzCq9DFeo5,9/1/2017 0:00,9/1/2017 0:00,35,3,,0.10839
R_1eEqQpaqk6uV1PO,9/1/2017 0:00,9/1/2017 0:00,35,5,I feel it is good the way it is right now.,5.00003
R_2lCKqDzRrsvE3IJ,9/1/2017 0:00,9/1/2017 0:00,35,2,Go back to the easier way of doing things    Too many details,0.41121
R_DqKLm850I0n2BdT,9/1/2017 0:00,9/1/2017 0:00,35,3,I'm not certain of what needs improvement at this time.,1.08259
R_eEvxpbIvuZvExvX,9/1/2017 0:00,9/1/2017 0:00,35,3,make it -not subscription dependent,0.07973
R_1goxzPmOwUZfy9k,9/1/2017 0:00,9/1/2017 0:00,35,4,,0.332
R_zck54QRWo002xIR,9/1/2017 0:00,9/1/2017 0:00,35,5,N/A,0.91677
R_2EhMY6daGBoP0dr,9/1/2017 0:00,9/1/2017 0:00,35,5,,0.2195
R_1GwEdQv9MhRGemK,9/1/2017 0:00,9/1/2017 0:00,35,5,,0.54481
R_T1JPihkwi5Ixmmd,9/1/2017 0:00,9/1/2017 0:00,35,3,"Updates sometimes occur without warning or notice, for example when you are about to shutdown the computer.  This leads to issues particularly when you are in a hurry to get to another destination.",0.0532
R_3kO2F0050I1kBmB,9/1/2017 0:00,9/1/2017 0:00,35,3,,0.74906
R_1H5pc5XTibAElAr,9/1/2017 0:00,9/1/2017 0:00,35,4,,0.45344
R_3CHEefLUeAmRU26,9/1/2017 0:00,9/1/2017 0:00,35,5,More ipad centered,0.43875
R_28GacNZybkpO657,9/1/2017 0:00,9/1/2017 0:00,35,5,I don't know how it seems to work wonderful,0.1008
R_24qs1HqCTLQz4G7,9/1/2017 0:00,9/1/2017 0:00,35,3,,0.08179
R_2QZ33uvzTLQB8xV,9/1/2017 0:00,9/1/2017 0:00,35,5,"I can not tell you how you can do your job better. But, I am sure glad that you do know what you are doing. It makes me a very happy and faithful customer. To me that is very important. I do not like changing companies. When the company knows it's job.",0.80739
R_WCpdifs3nqpLaNP,9/1/2017 0:00,9/1/2017 0:00,35,4,I have it but really don't use it so I don't know how you can make it better,0.27748
R_Rlsc0sTJgCIh3ON,9/1/2017 0:00,9/1/2017 0:00,35,5,No suggestions at this time.,2.04044
R_2sZsFiXQ9p7hUSC,9/1/2017 0:00,9/1/2017 0:00,35,4,"In office everything works fine, but the 365-product does not add value to the old office, if MS cannot keep OneDrive and Hotmail up to standards",1.08259
R_3CE09HNeSKWxJVm,9/1/2017 0:00,9/1/2017 0:00,35,5,as is,0.07791
R_3Huj74drqMrCp4k,9/1/2017 0:00,9/1/2017 0:00,35,4,make it easy to insert greek letters into one note. I use it all the time for my med school notes and it would be a 1000x better if i could just put alpha and beta in with a key stroke!,2.49895
R_2R2Gy427hQxgWo5,9/1/2017 0:00,9/1/2017 0:00,35,4,"I would like to have a better experience with Outlook. I am unable to use it, since every time I try to create my google account, I get a message from google saying that this is not a secure connection and leaves my google account vulnerable. Has this been fixed, or will this be fixed soon. Why doesn't Microsoft have just one awesome mail client rather than having Outlook and now the Windows 10 client?",0.03777
R_UftrwPWkgWmbGZr,9/1/2017 0:00,9/1/2017 0:00,35,4,Make sure it's available on all mobile devices.,0.20754
R_6Ew7vbqhPfo1d17,9/1/2017 0:00,9/1/2017 0:00,35,5,Don't change a thing,0.22327
R_1C7TQDF2sRyotQJ,9/1/2017 0:00,9/1/2017 0:00,35,3,Address labels that are easy to get,0.41121
R_2TZaqPYvGFv2wGx,9/1/2017 0:00,9/1/2017 0:00,35,3,,2.86015
R_2b1NZDZOHO9xQBy,9/2/2017 0:00,9/2/2017 0:00,35,5,,0.09824
R_111SapVpnbvvJc0,9/2/2017 0:00,9/2/2017 0:00,35,5,,2.43262
R_3PZ87pxjR5zlQi4,9/2/2017 0:00,9/2/2017 0:00,35,3,,0
R_2ZBUcDA9GcCyDo7,9/2/2017 0:00,9/2/2017 0:00,35,5,,0
R_2qfRgGcKwPYh6lk,9/2/2017 0:00,9/2/2017 0:00,35,5,Free,0
R_23deATel5LWwhE9,9/2/2017 0:00,9/2/2017 0:00,35,4,,0
R_2wHO6sEFSRtzfrr,9/2/2017 0:00,9/2/2017 0:00,35,5,Make the software go faster,0
R_3iK0JtwVcU69Skk,9/2/2017 0:00,9/2/2017 0:00,35,4,,0
R_3KuNrlbUc06SfQ9,9/2/2017 0:00,9/2/2017 0:00,35,4,,0
R_zVkjGFxuLCfQfIt,9/2/2017 0:00,9/2/2017 0:00,35,5,free tutorials for programs like excel,0
R_2zCkjPZwd6b9OXM,9/2/2017 0:00,9/2/2017 0:00,35,1,make outlook work - can not connect - doesn't recognize my email server . after it's recognized it for months. . spent hours with Frontier. . it's a Microsoft problem.  Haven't had the time to spend hours on the phone with tech support.,0
R_22DChMkEEtET4rK,9/3/2017 0:00,9/3/2017 0:00,36,2,You could do what you say. Three devices. I cannot install on iPads or iPhone. Only on MAC,0
R_2DTe0huWutZNaz5,9/3/2017 0:00,9/3/2017 0:00,36,4,"I don't connect to the internet super often, and it is very frustrating to pull up a project to work on and all of a sudden I have to varify my subscription and I'm not anywhere near the computer lab. Maybe if there was some sort of warning or time frame. For example, instead of just popping up and telling me that I can't use any features until I verify my subscription, maybe say within a couple days or something. Then I could plan a time to verify it.",0
R_1rNPqPf843fZO9x,9/3/2017 0:00,9/3/2017 0:00,36,4,Make it one purchase not having to renew,0
R_1pA7O4d72idTgFA,9/3/2017 0:00,9/3/2017 0:00,36,1,Word could be made easier to learn.,0.21338
R_3EtMi5DWG7vCynA,9/3/2017 0:00,9/3/2017 0:00,36,5,,1.5358
R_1o1gWvaUiOGIrho,9/3/2017 0:00,9/3/2017 0:00,36,1,Too much money.,1.28532
R_1Kd9DEdd3wuQBjG,9/3/2017 0:00,9/3/2017 0:00,36,3,I like it as is; I only use occasionally.,0.2333
R_2pWy6psPVMrLsRS,9/3/2017 0:00,9/3/2017 0:00,36,3,"I mostly use Microsoft Word, and one thing I'm not too fond off is how sometimes my custom fonts revert back to something like ""Times New Roman"" and then I have to pick my font again.  If there was a way to keep this from happening, is greatly appreciate it.",4.15376
R_pofhT9M3jhmnEAN,9/3/2017 0:00,9/3/2017 0:00,36,5,More training videos,0.09727
R_2fqdoEcUJNH0qJ4,9/3/2017 0:00,9/3/2017 0:00,36,4,,0.56313
R_2wHnPRHdLOJR0PZ,9/3/2017 0:00,9/3/2017 0:00,36,5,You already have by offering monthly payments.,0.08704
R_UMS57md8dcJbpzX,9/3/2017 0:00,9/3/2017 0:00,36,5,Meets my needs,0.35336
